Rank	Taxonpath	Taxon	X01	X02	X03	X04	X05	X06	X07	X08	X09	X10	X65-5-5	X65-5-1	X65-3-3	X65-3-1	X11	X25-I-1	X26-I-1	X27-I-1	X28-I-1	X29-I-1	X25-I-5	X30-II-5	X35-III-5	X40-I-5	X45-II-5	X12	X50-III-5	X75-5-5	X75-5-1	X75-3-3	X75-3-1	X60-5-5	X60-5-1	X60-3-3	X60-3-1	X80-5-5	X13	X80-5-1	X80-3-3	X80-3-1	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X01Pool	X11Pool	X21Pool	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	PCRRep01	PCRRep02	PCRRep03	PCRRep04	PCRRep05	PCRRep06	PCRRep07	PCRRep08	PCRRep09	PCRRep10	X55Pool	X70-5-5	X70-5-1	X70-3-3	X70-3-1	X1264-IV-5	X1274-IV-5	X1285-I-5	X1289-II-5	X1294-III-5	X1299-IV-5	X01_10_isPool	X11_20_isPool	X21_24_isPool	X55_64_isPool	XPCR
root	root	root	862	988	1106	999	1052	1071	1019	1064	1052	938	1706	1184	1446	1144	692	1428	1412	1382	1454	1412	1912	1930	1712	1876	2024	675	2195	2891	2511	2607	2294	2064	1473	1880	1372	2455	680	2459	2308	2148	703	677	728	667	625	587	615	739	777	739	800	1275	819	812	1060	1110	1135	1131	1090	1210	1139	1177	1090	1189	1205	1201	1166	1140	1186	1162	1145	1162	1190	1178	1517	1683	1275	1440	1117	1137	1585	1759	1532	1505	1499	3227	2469	1633	3763	3024
meta	Main genome	Main genome	862	988	1106	999	1052	1071	1019	1064	1052	938	1706	1184	1446	1144	692	1428	1412	1382	1454	1412	1912	1930	1712	1876	2024	675	2195	2891	2511	2607	2294	2064	1473	1880	1372	2455	680	2459	2308	2148	703	677	728	667	625	587	615	739	777	739	800	1275	819	812	1060	1110	1135	1131	1090	1210	1139	1177	1090	1189	1205	1201	1166	1140	1186	1162	1145	1162	1190	1178	1517	1683	1275	1440	1117	1137	1585	1759	1532	1505	1499	3227	2469	1633	3763	3024
domain	Main genome;Eukaryota	Eukaryota	862	988	1106	999	1052	1071	1019	1064	1052	938	1706	1184	1446	1144	692	1428	1412	1382	1454	1412	1912	1930	1712	1876	2024	675	2195	2891	2511	2607	2294	2064	1473	1880	1372	2455	680	2459	2308	2148	703	677	728	667	625	587	615	739	777	739	800	1275	819	812	1060	1110	1135	1131	1090	1210	1139	1177	1090	1189	1205	1201	1166	1140	1186	1162	1145	1162	1190	1178	1517	1683	1275	1440	1117	1137	1585	1759	1532	1505	1499	3227	2469	1633	3763	3024
superkingdom	Main genome;Eukaryota;Opisthokonta	Opisthokonta	140	154	185	161	167	187	163	188	171	160	338	228	262	214	128	233	250	224	240	251	407	431	340	349	405	136	435	662	542	538	496	375	280	332	256	513	135	467	447	434	132	137	162	123	123	104	112	191	186	180	205	313	201	244	162	165	160	168	175	182	172	198	162	190	181	183	176	174	173	182	164	167	173	184	331	334	242	278	206	179	278	363	298	306	309	653	523	432	664	428
superkingdom	Main genome;Eukaryota;Excavata	Excavata	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	2	0	0	1	0	1	1	1	1	1	0	3	4	6	8	3	5	5	2	1	3	0	5	4	1	1	2	3	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	0	4	0	1	0	0	1	0	2	1	0	1	1	0	0	1	0	1	0	1	0	1	3	4	6	2	7	5
superkingdom	Main genome;Eukaryota;Archaeplastida	Archaeplastida	52	60	65	71	66	65	63	66	55	58	84	52	72	62	35	69	65	67	70	65	80	80	73	83	88	28	101	68	61	71	62	67	49	61	49	66	30	66	66	64	30	26	31	29	29	24	23	21	23	23	22	67	33	22	45	40	40	41	36	44	45	43	40	43	43	45	42	37	47	39	44	49	40	42	61	74	61	65	59	66	68	74	73	63	54	133	89	50	103	86
superkingdom	Main genome;Eukaryota;SAR	SAR	605	697	777	693	744	741	704	731	744	655	1144	806	996	781	480	990	967	978	1032	981	1278	1274	1173	1284	1356	462	1470	1873	1660	1722	1524	1443	1023	1323	960	1638	463	1653	1537	1447	488	461	478	468	421	418	432	479	521	493	520	821	530	495	763	808	833	819	792	889	823	832	796	858	866	866	850	834	866	839	841	836	875	848	1017	1143	884	983	782	816	1120	1178	1054	1022	1014	2158	1618	1044	2614	2160
superkingdom	Main genome;Eukaryota;Amoebozoa	Amoebozoa	4	4	4	5	2	5	4	6	4	5	8	4	6	4	2	11	12	7	2	8	8	12	7	14	11	3	14	25	25	25	17	8	7	11	6	17	0	30	13	17	6	1	0	6	0	2	3	4	0	2	4	5	0	1	8	8	7	11	4	8	3	7	5	6	9	14	5	5	5	4	7	10	9	12	6	6	4	7	4	5	7	15	7	5	6	27	20	7	45	49
superkingdom	Main genome;Eukaryota;Hacrobia	Hacrobia	8	14	11	10	7	8	8	10	8	7	20	15	17	16	9	20	17	14	18	21	21	20	21	24	28	10	26	59	45	50	46	24	14	21	12	46	8	48	51	36	6	10	7	6	13	8	6	5	5	5	9	8	11	7	11	11	15	12	13	11	12	16	11	12	14	17	10	15	18	19	15	19	14	12	16	16	12	13	9	10	17	25	14	12	19	28	33	12	52	48
superkingdom	Main genome;Eukaryota;DH147-EKD10	DH147-EKD10	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	1	2	2	0	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	0	1	1	0	2	1
