Rank	Taxonpath	Taxon	S675S.DA01r3	S07.18SX07	S45.18SX62	S20.18SX20	S676S.DA01r4	S10.18SX10	S23.18SX23	S677S.DA01r5	S770S.DA013III	S186SBLEX2	S44.18SX61	S39.18SX56	S771S.DA013IV	S192SBLPCR	S122S75.79	S688S.DA01	S22.18SX22	S15.18SX15	S126S60.64	S109S65.67	S42.18SX59	S113S27	S687S.DA01	S679S.DA01r7	S768S.DA013I	S115S29	S108S65.69	S38.18SX55	S27.18SX21.24	S02.18SX02	S812S.BLEX14	S686S.DA01	S674S.DA01r2	S680S.DA01r8	S03.18SX03	S112S26	S40.18SX57	S26.18SX11.20	S133S80.82	S46.18SX63	S120S45.49	S118S35.39	S683S.DA01	S13.18SX13	S110S65.67	S128S60.62	S43.18SX60	S678S.DA01r6	S111S25	S123S75.79	S09.18SX09	S18.18SX18	S19.18SX19	S12.18SX12	S119S40.44	S189SMOCK	S189SBLEX4	S06.18SX06	S125S75.77	S767S.DA012IV	S689S.DA01	S17.18SX17	S124S75.77	S129S60.62	S01.18SX01	S127S60.64	S47.18SX64	S121S50.54	S04.18SX04	S25.18SX1.10	S08.18SX08	S21.18SX21	S766S.DA011IV	S107S65.69	S41.18SX58	S11.18SX11	S114S28	S16.18SX16	S682S.DA01r10	S14.18SX14	S732S.BLANK	S813S.BLANK	S769S.DA013II	S681S.DA01r9	S811S.BLEX14	S132S80.82	S48.18SBlank	S116S25.29	S130S80.84	S05.18SX05	S117S30.34	S24.18SX24	S131S80.84	S673S.DA01r1
root	root	root	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
meta	Main genome	Main genome	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
meta	No hits	No hits	0.00468932048183	0.000275247034213	0.0082409071194	0.000354916705486	0.00526976420917	0.000187550404171	0.000195630909684	0.00437054894095	0.00260430712332	0.0	0.000336112586874	0.000303103782735	0.000354250309101	0.00694444444444	0.00033015143903	0.00032033858818	0.000121893410984	0.000257444434909	0.00174631636392	0.000588043123162	0.000393589536574	0.000150207944123	0.000347871870328	0.00409997560655	0.00107070966637	0.000242621868965	0.000500351942468	0.000230283156169	0.000508632215311	0.000678749368185	0.0	0.000247069247546	0.00456303507018	0.00450694246268	0.000157534893979	0.000138164484819	0.000380407035528	0.000168074288836	0.000768995499629	0.000256072231338	0.00135945009286	0.000128194562719	0.00135797679094	0.0	0.000651753741965	0.00319794068412	0.000523356046302	0.00429419238625	0.00011399708869	0.000283870321358	8.63234828648e-05	2.13542890089e-05	0.0	6.31615039656e-05	0.0022595745898	0.0	0.0	0.000206654267411	0.000331123016446	0.000322242257616	0.000440717929507	0.00291305728648	0.00040380546268	0.00242203024126	6.04187016021e-05	0.00202196704943	0.000390127715494	0.00128689219388	0.000171711158936	0.000220854418529	0.00098534560473	0.00177403134499	0.000389882893356	0.000463746420203	0.00555561335428	0.000199887563246	0.000144364028334	0.0	0.00423383075556	0.000143741839656	0.0	0.0	0.00117540759457	0.00461277214088	0.0	0.000434786389447	0.0	0.000153724947637	0.000281896103667	0.000263559178448	0.00019937907659	0.000308036325469	0.000480756623515	0.00497851277722
domain	Main genome;Eukaryota	Eukaryota	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
superkingdom	Main genome;Eukaryota;Opisthokonta	Opisthokonta	0.334809779207	0.189989265366	0.266404362104	0.218617599432	0.331849915456	0.176334890002	0.170280404304	0.332796599253	0.349131255538	0.523076923077	0.165302338693	0.252051002263	0.294333384271	0.340277777778	0.466582932606	0.149423390541	0.194149116273	0.171272061558	0.239876822328	0.179639006861	0.266308735669	0.584853406435	0.144178787337	0.329499183758	0.320734649592	0.579681874205	0.19148214422	0.283211436783	0.197581817125	0.122391508412	0.5	0.146503544166	0.339055234453	0.336150992413	0.131552138799	0.53125107941	0.202626810687	0.193411487878	0.462061432254	0.261468716509	0.365615486243	0.520543178676	0.265563824909	0.230777484495	0.195855745172	0.221755472032	0.225053361793	0.335751162005	0.558883880812	0.443589122757	0.382499352574	0.22451899464	0.216017777511	0.175877719328	0.345428890139	0.321007426947	0.388888888889	0.190380243852	0.457552576392	0.145488951204	0.153491036899	0.200354823519	0.470821017267	0.22168399328	0.728780448508	0.229447495424	0.218923247505	0.408206827464	0.381336141765	0.409780970031	0.193976812931	0.229912202398	0.0941673519154	0.172188232231	0.320904295717	0.208532700356	0.537217046504	0.208881139352	0.340247683632	0.197010169735	0.666666666667	0.5	0.292684487019	0.337898231771	0.615384615385	0.416499273907	0.603305785124	0.563555658039	0.428755164425	0.409985127732	0.561394514227	0.215739515356	0.395636478064	0.336793032001
superkingdom	Main genome;Eukaryota;Excavata	Excavata	0.0	0.0	2.06539025549e-05	1.10911470464e-05	0.0	0.0	0.0	1.84023113303e-05	2.31151519821e-05	0.0	2.16846830241e-05	0.0	8.33530139061e-05	0.0	5.02404363741e-05	9.70722994486e-06	4.06311369947e-05	0.000114419748849	5.45723863725e-05	0.0	0.0	0.0	0.0	3.7528380838e-05	1.42761288849e-05	0.0	0.0	0.0	2.90646980178e-05	0.0	0.0	0.0	4.34574768589e-05	3.93619429055e-05	0.0	0.0	0.0	0.0	5.24315113383e-05	0.0	1.91471844065e-05	9.15675447994e-06	5.29081866601e-05	0.0	2.99656892858e-05	2.3688449512e-05	1.02618832608e-05	0.0	1.75380136446e-05	0.000100189525185	0.0	4.27085780179e-05	0.0	0.0	9.53406999914e-06	0.0	0.0	1.03327133705e-05	2.54710012651e-05	0.0	0.0	0.0	8.07610925361e-05	1.70565509948e-05	1.00697836004e-05	0.000141454484939	0.00017453082009	9.24712953687e-05	0.0	0.0	3.14472001509e-05	0.0	1.41775597584e-05	0.0	0.0	0.0	9.62426855559e-06	0.000127273421491	4.53300937426e-05	5.989243319e-05	0.0	0.0	0.0	0.0	0.0	3.47829111557e-05	0.0	9.60780922734e-06	2.64277597188e-05	0.0	9.49424174238e-06	7.9861269566e-05	7.86692656661e-05	0.0
superkingdom	Main genome;Eukaryota;Archaeplastida	Archaeplastida	0.00743358400817	0.019404915912	0.00744573187104	0.00779707637364	0.00613076899138	0.0203867289334	0.00661884577763	0.00667083785723	0.015533382132	0.0	0.00937862540794	0.00866876818623	0.014156120195	0.0138888888889	0.00442115840092	0.0156092257513	0.00492991128868	0.00740867873795	0.00797536446558	0.0128961123816	0.00630752462458	0.00719120532487	0.0147704515753	0.00616403655264	0.0149256927492	0.0118496520802	0.0133907748671	0.00689928335882	0.00479567517293	0.0231930103257	0.0	0.0156420392585	0.00642301507974	0.00655376349377	0.0202904943445	0.00911885599807	0.00791847276586	0.00696107679594	0.00646655306506	0.00910479044756	0.0131732628717	0.0100632731735	0.00956756375436	0.00522543402219	0.0143310909009	0.00914374151164	0.00736803218127	0.0075268990141	0.00820779038566	0.00446678299784	0.0119222321334	0.0085844241816	0.00576567919401	0.00855387225135	0.0127756537989	0.000439650164084	0.0	0.019993800372	0.00472911590155	0.0181621221367	0.0153810557398	0.00682268680254	0.00458723005605	0.00935551822066	0.00637417301902	0.00850391080047	0.00646790686214	0.0146721121985	0.0126951783507	0.0136449621187	0.0173274072832	0.00592097085843	0.0219893951853	0.0131150741994	0.0053683454884	0.00773315010307	0.0101824761318	0.00824731771264	0.00640060923646	0.00583352299271	0.0	0.0	0.0170394121363	0.00618415605701	0.0	0.00560004869608	0.00413223140496	0.00949251551661	0.0047834245091	0.0154558632504	0.00881065633693	0.00417560352302	0.00569915124603	0.00664760954647
superkingdom	Main genome;Eukaryota;SAR	SAR	0.640549623025	0.750240841155	0.707902183118	0.708402653002	0.644768099254	0.776458673268	0.804010433649	0.643703649178	0.608937858766	0.461538461538	0.804566794245	0.723922971225	0.665302918745	0.638888888889	0.507248977248	0.818261240972	0.75515676847	0.800065791356	0.734466360022	0.786728193401	0.712275956725	0.392371314038	0.822030631528	0.646782879553	0.635223492798	0.391717859881	0.773925727418	0.696256517013	0.760187176655	0.824969311864	0.5	0.820695883315	0.63566120551	0.637732358469	0.828906602813	0.438629062899	0.76899282232	0.75669846072	0.518643771573	0.71282921879	0.600513144542	0.452316201046	0.708361257099	0.743631837593	0.766919377313	0.750868576482	0.749979476233	0.639907039581	0.416045528683	0.524809431174	0.569687029417	0.745029789233	0.760108707076	0.731735046514	0.622050397094	0.677336034041	0.611111111111	0.769084521595	0.511984106095	0.808930909889	0.815460384967	0.74124166329	0.501235644716	0.750667337558	0.251422356934	0.743825927775	0.756283109523	0.556083840641	0.575587252164	0.55535283894	0.769701670895	0.727273754506	0.859670513511	0.795642410831	0.656529926445	0.702404897245	0.436595318756	0.767395094882	0.636615836522	0.781704059509	0.333333333333	0.5	0.668567042211	0.639815151182	0.230769230769	0.562587500761	0.363636363636	0.410166983724	0.552199230071	0.559799695024	0.415942730734	0.745733126455	0.581698032394	0.637163302893
superkingdom	Main genome;Eukaryota;Amoebozoa	Amoebozoa	9.62899482923e-05	0.00020643527566	0.000144577317884	0.000244005235021	0.000124482619114	0.000225060485005	9.78154548419e-05	7.36092453212e-05	0.000177216165196	0.0	0.00036863961141	0.00020206918849	0.000243112957226	0.0	0.000344505849422	0.000116486759338	0.0	1.43024686061e-05	0.000148125048725	0.000171512577589	0.00015138059099	0.000103267961584	7.52155395305e-05	0.000140731428143	0.000406869673219	0.000106753622345	0.000169610827955	0.000257917134909	2.90646980178e-05	0.000144414759188	0.0	7.66766630316e-05	0.000478032245448	0.000305055057518	0.000189041872775	0.000172705606024	0.000470503438679	0.0	0.000244680386245	0.000113809880594	0.000210619028472	0.000100724299279	0.00018517865331	0.0	0.000397045383036	0.000150026846909	0.00024628519826	0.000128664940412	0.000227994177379	0.000442503736234	0.000124689475249	0.0	0.00019519226438	8.12076479558e-05	0.000200215469982	0.0	0.0	0.000154990700558	0.000331123016446	0.000178261674426	9.91615341391e-05	0.000317588952285	0.000395729353427	0.000110867581466	5.03489180018e-05	9.9850224663e-05	0.00025666297072	0.000161824766895	0.000103026695362	0.000163240222391	0.000199165600956	0.000169493440604	0.000205574616497	0.000227805259047	0.000197671636201	0.000112436754326	5.77456113335e-05	0.0	0.000389838806187	0.000347376112502	0.0	0.0	0.000127935520498	0.00019431091436	0.0	0.000217393194723	0.0	0.000124901519955	0.000237849837469	7.53026224138e-05	0.000284827252271	0.000136905033542	0.000585648977737	0.000182257693193
superkingdom	Main genome;Eukaryota;Hacrobia	Hacrobia	0.00278277950565	0.00422504197517	0.00318070099345	0.00247332579135	0.00303945061671	0.00388229336634	0.00361917182915	0.0030639848365	0.00297414955503	0.0	0.00279732411011	0.00312196896217	0.00357028742898	0.0	0.00233976889399	0.00488273666227	0.00297961671294	0.0039903887411	0.00336009978951	0.00392028748775	0.00336064911997	0.00302293487547	0.00593262568047	0.00334002589458	0.00329778577241	0.00323172329461	0.0037908020048	0.00231204288794	0.00312445503691	0.00489566033649	0.0	0.00506917938931	0.00332884272739	0.00288326231783	0.00433746074756	0.00318641843114	0.00323345980199	0.00522430914464	0.00187005723773	0.00297802520889	0.00446129396672	0.00205111300351	0.00261013720856	0.00479624026267	0.00375320258304	0.00394017876883	0.0040329201215	0.00274217154253	0.00297269331276	0.00212902741018	0.00252256399927	0.00273334899315	0.00339334244231	0.00303175219035	0.00464309208958	0.000690878829274	0.0	0.00462905559	0.00235182245014	0.0068219371559	0.00446226903626	0.00354823519105	0.00229361502802	0.0039485915553	0.00150039775645	0.00363621234814	0.00307995564864	0.00395314787701	0.00330830166216	0.00303434766326	0.00357449841716	0.00445202770653	0.00455099668245	0.00402727154387	0.00237205963441	0.00364794802923	0.00307014166923	0.00366547453895	0.0030824463745	0.00222799851467	0.0	0.0	0.00434181172689	0.00290621541477	0.0	0.00264350124784	0.0	0.00321861609116	0.00234326136173	0.00279560985711	0.00244002012779	0.00297768447953	0.00253489856035	0.00263794029622
