Rank	Taxonpath	Taxon	S675S.DA01r3	S07.18SX07	S45.18SX62	S20.18SX20	S676S.DA01r4	S10.18SX10	S23.18SX23	S677S.DA01r5	S770S.DA013III	S186SBLEX2	S44.18SX61	S39.18SX56	S771S.DA013IV	S192SBLPCR	S122S75.79	S688S.DA01	S22.18SX22	S15.18SX15	S126S60.64	S109S65.67	S42.18SX59	S113S27	S687S.DA01	S679S.DA01r7	S768S.DA013I	S115S29	S108S65.69	S38.18SX55	S27.18SX21.24	S02.18SX02	S812S.BLEX14	S686S.DA01	S674S.DA01r2	S680S.DA01r8	S03.18SX03	S112S26	S40.18SX57	S26.18SX11.20	S133S80.82	S46.18SX63	S120S45.49	S118S35.39	S683S.DA01	S13.18SX13	S110S65.67	S128S60.62	S43.18SX60	S678S.DA01r6	S111S25	S123S75.79	S09.18SX09	S18.18SX18	S19.18SX19	S12.18SX12	S119S40.44	S189SMOCK	S189SBLEX4	S06.18SX06	S125S75.77	S767S.DA012IV	S689S.DA01	S17.18SX17	S124S75.77	S129S60.62	S01.18SX01	S127S60.64	S47.18SX64	S121S50.54	S04.18SX04	S25.18SX1.10	S08.18SX08	S21.18SX21	S766S.DA011IV	S107S65.69	S41.18SX58	S11.18SX11	S114S28	S16.18SX16	S682S.DA01r10	S14.18SX14	S732S.BLANK	S813S.BLANK	S769S.DA013II	S681S.DA01r9	S811S.BLEX14	S132S80.82	S48.18SBlank	S116S25.29	S130S80.84	S05.18SX05	S117S30.34	S24.18SX24	S131S80.84	S673S.DA01r1
root	root	root	1166	1023	1182	615	1146	942	743	1190	1514	41	1145	1113	1506	71	2896	1446	778	680	2068	1451	1095	1390	1282	1145	1762	1419	1187	1067	813	995	8	1693	1206	1165	1111	1424	1142	820	2155	1092	2028	1717	1519	684	1147	1884	1217	1165	1435	2517	1053	627	588	676	1878	107	47	1076	2299	1590	1120	671	2615	1378	867	1479	1192	2202	1002	1277	1066	740	1142	1712	1134	694	1459	734	1184	704	9	10	1537	1194	9	2315	74	1916	2464	1057	1936	801	2469	1208
meta	Main genome	Main genome	1166	1023	1182	615	1146	942	743	1190	1514	41	1145	1113	1506	71	2896	1446	778	680	2068	1451	1095	1390	1282	1145	1762	1419	1187	1067	813	995	8	1693	1206	1165	1111	1424	1142	820	2155	1092	2028	1717	1519	684	1147	1884	1217	1165	1435	2517	1053	627	588	676	1878	107	47	1076	2299	1590	1120	671	2615	1378	867	1479	1192	2202	1002	1277	1066	740	1142	1712	1134	694	1459	734	1184	704	9	10	1537	1194	9	2315	74	1916	2464	1057	1936	801	2469	1208
meta	No hits	No hits	10	5	8	4	7	4	2	12	11	0	6	5	10	1	24	9	2	2	14	10	7	7	8	6	10	12	5	8	3	5	0	9	11	8	4	8	8	4	17	6	15	7	10	0	8	20	9	7	5	16	5	1	0	2	11	0	0	5	12	10	7	8	22	10	3	9	11	12	6	8	9	3	8	15	10	5	7	0	13	2	0	0	13	6	0	17	0	8	13	8	8	4	10	10
domain	Main genome;Eukaryota	Eukaryota	1166	1023	1182	615	1146	942	743	1190	1514	41	1145	1113	1506	71	2896	1446	778	680	2068	1451	1095	1390	1282	1145	1762	1419	1187	1067	813	995	8	1693	1206	1165	1111	1424	1142	820	2155	1092	2028	1717	1519	684	1147	1884	1217	1165	1435	2517	1053	627	588	676	1878	107	47	1076	2299	1590	1120	671	2615	1378	867	1479	1192	2202	1002	1277	1066	740	1142	1712	1134	694	1459	734	1184	704	9	10	1537	1194	9	2315	74	1916	2464	1057	1936	801	2469	1208
superkingdom	Main genome;Eukaryota;Opisthokonta	Opisthokonta	176	167	202	112	180	164	183	175	313	17	177	167	314	21	665	284	187	140	378	265	179	228	247	164	365	257	229	166	245	160	3	343	188	170	190	260	165	202	440	164	408	343	331	138	216	335	187	183	237	548	172	124	105	137	350	35	17	190	499	282	209	126	543	262	144	285	192	440	164	315	190	192	184	342	169	130	242	165	188	133	6	5	301	177	6	452	20	409	522	171	434	206	473	184
superkingdom	Main genome;Eukaryota;Excavata	Excavata	0	0	1	1	0	0	0	1	1	0	1	0	3	0	4	1	1	2	5	0	0	0	0	2	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	1	1	0	1	2	1	0	2	6	0	1	0	0	1	0	0	1	3	0	0	0	8	1	1	5	4	3	0	0	2	0	1	0	0	0	1	3	1	1	0	0	0	0	0	4	0	1	3	0	1	1	5	0
superkingdom	Main genome;Eukaryota;Archaeplastida	Archaeplastida	42	63	43	23	37	58	23	47	63	0	45	40	54	2	68	65	23	26	67	72	36	67	61	44	74	65	52	45	22	60	0	74	45	49	65	65	40	33	64	40	88	73	61	30	62	61	44	39	69	61	55	29	24	28	83	1	0	65	62	68	59	29	71	49	52	49	43	101	71	67	66	21	66	84	41	35	70	31	42	30	0	0	73	40	0	66	1	80	66	66	80	22	66	43
superkingdom	Main genome;Eukaryota;SAR	SAR	850	704	833	432	834	655	494	867	1023	23	824	808	1014	47	1874	983	521	461	1443	998	793	981	886	841	1178	982	807	764	495	698	5	1144	866	836	777	969	834	530	1448	796	1357	1175	1018	464	782	1323	891	840	992	1660	744	422	418	462	1285	69	30	743	1526	1120	782	469	1724	960	606	1023	858	1471	693	821	731	479	816	1145	820	480	1034	481	849	488	3	5	1056	875	2	1539	49	1279	1638	745	1277	520	1656	866
superkingdom	Main genome;Eukaryota;Amoebozoa	Amoebozoa	5	4	7	3	5	5	2	5	5	0	3	8	6	0	25	7	0	1	8	6	4	7	4	7	15	8	4	8	1	4	0	6	14	10	4	12	7	0	17	5	11	7	6	0	4	11	8	4	11	25	4	0	2	3	14	0	0	5	17	7	4	6	25	6	4	7	6	14	5	5	6	4	5	8	11	2	2	0	12	6	0	0	7	9	0	13	0	8	17	2	12	4	30	9
superkingdom	Main genome;Eukaryota;Hacrobia	Hacrobia	10	8	16	6	15	7	5	18	12	0	12	11	19	0	59	13	5	10	24	17	13	14	12	15	25	21	15	11	7	14	0	16	17	19	11	17	15	11	36	11	28	21	16	8	16	21	11	19	20	45	8	13	8	10	24	1	0	8	46	17	9	6	50	12	8	14	12	26	10	8	10	5	10	20	12	9	18	7	12	6	0	0	14	14	0	51	0	21	46	7	20	9	48	14
